vin,km,images[0],images[1],images[2],user,specs.longType,specs.marca,specs.modelo,specs.version,specs.carroceria,specs.motor,specs.combustible,specs.cambio,specs.cilindros,specs.traccion,specs.potenciaKW,specs.potenciaCV,specs.parNm,specs.aceleracion,specs.velocidadMax,specs.neumaticoDelantero,specs.neumaticoTrasero,specs.emisionesCO2,specs.claseEmisiones,specs.colorEmisiones
W1K1770541N183551,50,https://res.cloudinary.com/dileah1ig/image/upload/v1759148497/vehicles/W1K1770541N183551/r8mq6zmsoqrgembeqiyo.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759148498/vehicles/W1K1770541N183551/twj2tuom5ft5olukwkcj.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759148502/vehicles/W1K1770541N183551/hdv3v5fza4ltfqyxygf3.webp,68c2eb32e11f49198ad00368,Mercedes-AMG A 45 S 4MATIC+ Compacto,Mercedes-Benz,A,LZAZ150A,Compacto,1991,Gasolina,automático,4,4x4 (AWD),310,421,500,3.9,270,245/35 ZR19 93Y XL,245/35 ZR19 93Y XL,206,F,#FF886D
W1K5J8FB9RN439696,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759148838/vehicles/W1K5J8FB9RN439696/hnsf3p9hujjozcwkaqrq.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759148839/vehicles/W1K5J8FB9RN439696/hq82qtcbaarejhgfb7qo.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759148844/vehicles/W1K5J8FB9RN439696/rkilxicybmygfeqmf37x.webp,68d3dd2ac62efc985be9eb57,CLA 250 e Coupé con tecnología híbrida EQ,Mercedes-Benz,CLA,HZAA054D,Coupé,1332,Hibrido,automático,4,4x2 (FWD),120,163,270,7.6,229,205/55 R17,205/55 R17,150,C,#D2E165
WDD2050871F561242,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759152879/vehicles/WDD2050871F561242/rsfaofxy3lb4zuu7osxh.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759152881/vehicles/WDD2050871F561242/b24x4aduntl4uxqpyigu.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759152887/vehicles/WDD2050871F561242/jyuvvilf7hmfxfjfmfmd.webp,68c2eb32e11f49198ad00368,Mercedes-AMG C 63 S Berlina,Mercedes-Benz,C,RZAA05I4,Berlina,3982,Gasolina,automático,V8,4x2 (RWD),375,510,700,4.0,250,245/35 ZR19 93Y XL,265/35 R19,192,F,#FF886D
W1K1183531N177296,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759153128/vehicles/W1K1183531N177296/loe7npeukdleytcubtsm.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759153130/vehicles/W1K1183531N177296/h8isdq2789narltmakrg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759153136/vehicles/W1K1183531N177296/rpib9efchmoxupraec2q.webp,68c2eb32e11f49198ad00368,Mercedes-AMG CLA 45 4MATIC+ Coupé,Mercedes-Benz,CLA,LZAA150A,Coupé,1991,Gasolina,automático,4,4x4 (AWD),285,387,480,4.1,250,245/40 ZR18 97Y XL,245/40 ZR18 97Y XL,199,F,#FF886D
WDD1173031N529645,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759154733/vehicles/WDD1173031N529645/hwdcdmcl8zan7jsgzumg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154735/vehicles/WDD1173031N529645/jvqymymwsppsxddbdoxy.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154740/vehicles/WDD1173031N529645/astpfehovkt0wfsf6yf2.webp,68c2eb32e11f49198ad00368,CLA 220 d Coupé,Mercedes-Benz,CLA,MZBA1522,Coupé,2143,Diesel,automático,4,4x2 (FWD),130,177,350,7.7,232,225/45 R17,225/45 R17,106,A,#69E99B
WDD1760051J676767,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759154786/vehicles/WDD1760051J676767/duiuviaukjntdaokwdgm.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154788/vehicles/WDD1760051J676767/vzwc8wqg49eoctk5vsk7.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154795/vehicles/WDD1760051J676767/zqqnxsfc3n9rzucwumg0.webp,68c2eb32e11f49198ad00368,A 220 d 4MATIC,Mercedes-Benz,A,MZAA1502,Berlina,2143,Diesel,automático,4,4x4 (AWD),130,177,350,7.5,220,225/45 R17,225/45 R17,124,B,#94E890
WDD2050041F026856,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759154841/vehicles/WDD2050041F026856/rckjn30fzjxxftrpkqyo.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154843/vehicles/WDD2050041F026856/gsyc9ggxdqpgcdmhy4yp.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154849/vehicles/WDD2050041F026856/jhzc71vzskr9ttiue1wg.webp,68c2eb32e11f49198ad00368,C 220 BlueTEC berlina,Mercedes-Benz,C,NZAAB573,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.4,233,205/60 R16,205/60 R16,113,A,#69E99B
WDD2050041R286931,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759154881/vehicles/WDD2050041R286931/k7jndk1iw4isgmrnu4u5.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154883/vehicles/WDD2050041R286931/uyczvmf5zsbzb0btn0ev.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154890/vehicles/WDD2050041R286931/q6jzqef2oynp1ng1arkb.webp,68c2eb32e11f49198ad00368,C 220 d berlina,Mercedes-Benz,C,CZAA0572,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.5,235,205/60 R16 92V,205/60 R16 92V,117,A,#69E99B
WDD2130041A005863,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759154924/vehicles/WDD2130041A005863/wwigvozooeaox9xbdzmx.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154926/vehicles/WDD2130041A005863/tjbyk6xdyepko0ip0fwq.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759154931/vehicles/WDD2130041A005863/bjyfxsomybbvlumv5mdp.webp,68c2eb32e11f49198ad00368,E 220 d berlina,Mercedes-Benz,E,CZAZ15A2,Berlina,1950,Diesel,automático,4,4x2 (RWD),143,194,400,7.9,232,205/65 R16,205/65 R16,112,A,#69E99B
WDD2050371F160810,500,https://res.cloudinary.com/dileah1ig/image/upload/v1759155092/vehicles/WDD2050371F160810/kxkk91gl8ppclknce6cu.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155094/vehicles/WDD2050371F160810/bqwair6oqjzivgnfjqqe.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1759155099/vehicles/WDD2050371F160810/y38atus6mfor7fxd9exa.webp,68c2eb32e11f49198ad00368,C 200 BlueTEC berlina,Mercedes-Benz,C,NZABB521,Berlina,1598,Diesel,automático,4,4x2 (RWD),100,136,320,10.2,216,205/60 R16 92V,205/60 R16 92V,112,A,#69E99B
